"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Unalloc_4_33501184_1072689152"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1033875456"	"0"	"null"	"unknown"	"r---------"	"/img_T:/$Unalloc/Unalloc_4_33501184_1072689152"
"$AttrDef"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2560"	"4"	"ad617ac3906958de35eacc3d90d31043"	"unknown"	"rr-xr-xr-x"	"/img_T:/$AttrDef"
"$AttrDef-slack"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"1536"	"4"	"null"	"unknown"	"rr-xr-xr-x"	"/img_T:/$AttrDef-slack"
"$BadClus"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"0"	"8"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_T:/$BadClus"
"$BadClus:$Bad"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"1072689152"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_T:/$BadClus:$Bad"
"$BadClus:$Bad-slack"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"1072689152"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_T:/$BadClus:$Bad-slack"
"$Bitmap"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"32736"	"6"	"960c75a68f16b091a528b6278495692d"	"unknown"	"rr-xr-xr-x"	"/img_T:/$Bitmap"
"$Bitmap-slack"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"32"	"6"	"null"	"unknown"	"rr-xr-xr-x"	"/img_T:/$Bitmap-slack"
"$Boot"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"8192"	"7"	"9341080e2ea0e41818ec18db7cd8e7cd"	"unknown"	"rr-xr-xr-x"	"/img_T:/$Boot"
"$ObjId"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"0"	"25"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_T:/$Extend/$ObjId"
"$Quota"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"0"	"24"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_T:/$Extend/$Quota"
"$Reparse"	""	"r"	""	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"2023-07-20 22:13:35 BRT"	"0"	"26"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_T:/$Extend/$Reparse"
